,Number,Name,Latitude,Longitude,District,Public,Total docks
141,C32027,Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225,Boston,Yes,15
142,C32030,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,42.303469,-71.085347,Boston,Yes,14
143,M32051,Fresh Pond Reservation,42.38267827521855,-71.143478951426,Cambridge,Yes,17
144,C32040,Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368,Boston,Yes,15
145,C32090,Geiger Gibson Community Health Center,42.31886468217537,-71.04536797860419,Boston,Yes,19
146,V32006,Glendale Square (Ferry St at Broadway),42.41480160999569,-71.04772560316633,Everett,Yes,15
147,A32034,Glendon St at Condor St,42.38240377674137,-71.03024303913115,Boston,Yes,0
148,B32032,Government Center - Cambridge St at Court St,42.35980251599553,-71.05960782626425,Boston,Yes,23
149,E32005,Green Street T Stop - Green St at Amory St,42.310579,-71.107341,Boston,Yes,23
150,B32028,Grove Hall Library - 41 Geneva Ave,42.30791,-71.080952,Boston,Yes,15
151,S32019,Grove St at Community Path,42.396386809455,-71.12011306006025,Somerville,Yes,15
152,D32043,Harrison Ave at Bennet St,42.34942609892521,-71.06209959843909,Boston,Yes,19
153,C32057,Harrison Ave at Mullins Way,42.34521562115022,-71.0638403149278,Boston,Yes,19
154,D32035,Harvard Ave at Brainerd Rd,42.349530168903755,-71.13022770741735,Boston,Yes,15
155,M32016,Harvard Kennedy School at Bennett St / Eliot St,42.3722168027866,-71.12188071012497,Cambridge,Yes,23
156,M32020,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,Cambridge,Yes,19
157,M32017,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,Cambridge,Yes,15
158,M32018,Harvard Square at Mass Ave/ Dunster,42.373267999999996,-71.118579,Cambridge,Yes,19
159,M32055,Harvard St at Greene-Rose Heritage Park,42.36599432867437,-71.09522221614498,Cambridge,Yes,19
160,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945000000004,-71.116865,Cambridge,Yes,17
161,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,Cambridge,Yes,15
162,M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,Cambridge,Yes,15
163,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,Cambridge,Yes,19
164,M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565,Cambridge,Yes,19
165,D32026,Hayes Square - Vine St at Moulton St,42.377022,-71.056605,Boston,Yes,19
166,K32010,High St at Cypress St,42.32538435700882,-71.12177595532556,Brookline,Yes,15
167,B32003,HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,42.337417484597296,-71.10286116600038,Boston,Yes,21
168,A32040,Honan Library,42.36027370454934,-71.12852452327388,Boston,Yes,15
169,B32033,Huntington Ave at Mass Art,42.33658555456115,-71.0988699646623,Boston,Yes,15
170,M32044,Huron Ave At Vassal Lane,42.381650612901176,-71.13426981498378,Cambridge,Yes,19
171,C32089,Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843,Boston,Yes,15
172,E32003,Hyde Square - Barbara St at Centre St,42.32176525723952,-71.10984160567114,Boston,Yes,15
173,C32020,ID Building East,42.344827,-71.028664,Boston,Yes,17
174,C32021,ID Building West,42.344796,-71.031614,Boston,Yes,19
175,C32025,Ink Block - Harrison Ave at Herald St,42.345901,-71.063187,Boston,Yes,15
176,M32062,Inman Square at Springfield St.,42.37438408515815,-71.1001574621514,Cambridge,Yes,19
177,A32011,Innovation Lab - 125 Western Ave at Batten Way,42.363732,-71.124565,Boston,Yes,15
178,E32006,Jackson Square T Stop,42.32293117195949,-71.10014140605927,Boston,Yes,18
179,D32052,Jamaica St at South St,42.3060456272408,-71.11570891001975,Boston,Yes,19
180,K32004,JFK Crossing at Harvard St. / Thorndike St.,42.346563,-71.128374,Brookline,Yes,15
181,C32013,JFK/UMass T Stop,42.320339735157226,-71.05118036270143,Boston,Yes,15
182,M32032,Kendall Street,42.36356015842989,-71.08216792345047,Cambridge,Yes,15
183,M32004,Kendall T,42.362427842912396,-71.08495473861693,Cambridge,Yes,23
184,B32010,Kenmore Square,42.348706,-71.097009,Boston,Yes,27
185,M32065,Kennedy-Longfellow School 158 Spring St,42.36955297756508,-71.08579014980933,Cambridge,Yes,19
186,M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469304347,-71.10057324171065,Cambridge,Yes,15
187,M32001,Lechmere Station at Cambridge St / First St,42.370677,-71.07652900000001,Cambridge,Yes,19
188,M32039,Lesley University,42.38674802045056,-71.11901879310608,Cambridge,Yes,15
189,D32006,Lewis Wharf at Atlantic Ave,42.363871,-71.050877,Boston,Yes,19
190,M32025,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828000000004,-71.130516,Cambridge,Yes,19
191,A32004,Longwood Ave at Binney St,42.338629,-71.1065,Boston,Yes,15
192,M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.35721850317653,-71.1138716340065,Cambridge,Yes,19
193,S32013,Magoun Square at Trum Field,42.398365000000005,-71.10781800000001,Somerville,Yes,15
194,D32020,Main St at Austin St,42.375603000000005,-71.06460799999999,Boston,Yes,11
195,D32036,Main St at Baldwin St,42.380857,-71.070629,Boston,Yes,19
196,V32010,Main St at Beacon St,42.41072713868097,-71.06266822675025,Everett,Yes,15
197,D32038,Main St at Thompson Sq,42.374878467440965,-71.0638349876717,Boston,Yes,15
198,V32002,Main Street at Carter Street,42.40413,-71.0613,Everett,Yes,15
199,K32012,Marion St at Harvard St,42.33978052668946,-71.12133350232398,Brookline,Yes,15
200,M32061,Mass Ave at Albany St,42.36135837662249,-71.09670273977825,Cambridge,Yes,18
201,M32056,Mass Ave at Hadley/Walden,42.39120971915856,-71.12260755160605,Cambridge,Yes,19
202,C32063,Mass Ave T Station,42.34135615767354,-71.08336953450817,Boston,Yes,16
203,C32050,Mattapan Library,42.2773889,-71.09325,Boston,Yes,15
204,C32045,Mattapan T Stop,42.267902,-71.093641,Boston,Yes,15
205,A32030,Maverick Square - Lewis Mall,42.368844082898356,-71.03977829217911,Boston,Yes,33
206,A32044,Maverick St at Massport Path,42.36774122306014,-71.0333597474255,Boston,Yes,15
207,D32037,Medford St at Charlestown BCYF,42.3804294744949,-71.06055721676968,Boston,Yes,19
208,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27
209,M32041,MIT Pacific St at Purrington St,42.359573201090434,-71.10129475593567,Cambridge,Yes,19
210,M32005,MIT Stata Center at Vassar St / Main St,42.3621312344991,-71.09115600585936,Cambridge,Yes,35
211,M32042,MIT Vassar St,42.35560121327927,-71.10394477844237,Cambridge,Yes,25
212,B32023,MLK Blvd at Washington St,42.32143814183195,-71.09126061201096,Boston,Yes,15
213,C23045,Morton St T,42.280725142920296,-71.08617242434775,Boston,Yes,15
214,M32043,Mt Auburn,42.37478628706384,-71.13320231437683,Cambridge,Yes,19
215,C32080,Mt. Hope St at Hyde Park Ave,42.28484472443536,-71.11874517062459,Boston,Yes,19
216,D32017,Mugar Way at Beacon St,42.35553628489709,-71.07286870479585,Boston,Yes,15
217,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19
218,M32045,Museum of Science,42.36769018024484,-71.07116281986238,Cambridge,Yes,19
219,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,37
220,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15
221,D32001,New Balance - 20 Guest St,42.357329218677066,-71.14673539996147,Boston,Yes,15
222,B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,23
223,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15
224,V32001,Norman St at Kelvin St,42.40581171700586,-71.06708850720679,Everett,Yes,15
225,C32078,Northbourne Rd at Hyde Park Ave,42.29118034790426,-71.117736660035,Boston,Yes,0
226,B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,15
227,D32031,Oak Square - 615 Washington St,42.350570000000005,-71.16649100000001,Boston,Yes,15
228,B32036,One Brigham Circle,42.333922701369964,-71.10446508982932,Boston,Yes,15
229,M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224178650923,-71.0831107199192,Cambridge,Yes,23
230,M32002,One Kendall Square at Hampshire St / Portland St,42.366277000000004,-71.09169,Cambridge,Yes,19
